timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1607135091296,3923,GetWorkload,200,OK,Thread Group 1-1,text,TRUE,,24909,0,1,1,3888,0,0
1607135095257,319,GetStarttime,200,OK,Thread Group 1-1,text,TRUE,,395,0,1,1,319,0,0
1607135095847,1543,GetDistribution,200,OK,Thread Group 2-3,text,TRUE,,371,0,17,17,1543,0,0
1607135095736,1645,GetDistribution,200,OK,Thread Group 2-2,text,TRUE,,371,0,16,16,1644,0,0
1607135095958,1565,GetDistribution,200,OK,Thread Group 2-4,text,TRUE,,371,0,18,18,1565,0,0
1607135096069,1567,GetDistribution,200,OK,Thread Group 2-5,text,TRUE,,371,0,19,19,1567,0,0
1607135096178,1494,GetDistribution,200,OK,Thread Group 2-6,text,TRUE,,371,0,19,19,1494,0,0
1607135096281,1578,GetDistribution,200,OK,Thread Group 2-7,text,TRUE,,371,0,21,21,1578,0,0
1607135097383,596,GetDistribution,200,OK,Thread Group 2-17,text,TRUE,,371,0,22,22,596,0,0
1607135096503,1516,GetDistribution,200,OK,Thread Group 2-9,text,TRUE,,371,0,22,22,1516,0,0
1607135096387,1640,GetDistribution,200,OK,Thread Group 2-8,text,TRUE,,371,0,22,22,1640,0,0
1607135097504,664,GetDistribution,200,OK,Thread Group 2-18,text,TRUE,,371,0,23,23,664,0,0
1607135096621,1548,GetDistribution,200,OK,Thread Group 2-10,text,TRUE,,371,0,23,23,1548,0,0
1607135097612,556,GetDistribution,200,OK,Thread Group 2-19,text,TRUE,,371,0,23,23,556,0,0
1607135096730,1560,GetDistribution,200,OK,Thread Group 2-11,text,TRUE,,371,0,25,25,1560,0,0
1607135097823,600,GetDistribution,200,OK,Thread Group 2-21,text,TRUE,,371,0,26,26,600,0,0
1607135096840,1587,GetDistribution,200,OK,Thread Group 2-12,text,TRUE,,371,0,26,26,1587,0,0
1607135096944,1560,GetDistribution,200,OK,Thread Group 2-13,text,TRUE,,371,0,27,27,1560,0,0
1607135097927,632,GetDistribution,200,OK,Thread Group 2-22,text,TRUE,,371,0,27,27,632,0,0
1607135098034,585,GetDistribution,200,OK,Thread Group 2-23,text,TRUE,,371,0,28,28,585,0,0
1607135097069,1579,GetDistribution,200,OK,Thread Group 2-14,text,TRUE,,371,0,28,28,1579,0,0
1607135097172,1513,GetDistribution,200,OK,Thread Group 2-15,text,TRUE,,371,0,29,29,1513,0,0
1607135098175,613,GetDistribution,200,OK,Thread Group 2-24,text,TRUE,,371,0,30,30,612,0,0
1607135098244,580,GetDistribution,200,OK,Thread Group 2-25,text,TRUE,,371,0,30,30,580,0,0
1607135095648,3181,GetDistribution,200,OK,Thread Group 2-1,text,TRUE,,371,0,30,30,3181,0,0
1607135097282,1588,GetDistribution,200,OK,Thread Group 2-16,text,TRUE,,371,0,30,30,1588,0,0
1607135098347,586,GetDistribution,200,OK,Thread Group 2-26,text,TRUE,,371,0,31,31,586,0,0
1607135097716,1274,GetDistribution,200,OK,Thread Group 2-20,text,TRUE,,371,0,32,32,1274,0,0
1607135098451,557,GetDistribution,200,OK,Thread Group 2-27,text,TRUE,,371,0,32,32,557,0,0
1607135098564,583,GetDistribution,200,OK,Thread Group 2-28,text,TRUE,,371,0,33,33,583,0,0
1607135098663,563,GetDistribution,200,OK,Thread Group 2-29,text,TRUE,,370,0,34,34,563,0,0
1607135098770,588,GetDistribution,200,OK,Thread Group 2-30,text,TRUE,,370,0,35,35,588,0,0
1607135098981,548,GetDistribution,200,OK,Thread Group 2-32,text,TRUE,,370,0,37,37,548,0,0
1607135098876,815,GetDistribution,200,OK,Thread Group 2-31,text,TRUE,,370,0,38,38,815,0,0
1607135099088,615,GetDistribution,200,OK,Thread Group 2-33,text,TRUE,,370,0,38,38,615,0,0
1607135099193,547,GetDistribution,200,OK,Thread Group 2-34,text,TRUE,,370,0,39,39,547,0,0
1607135099297,602,GetDistribution,200,OK,Thread Group 2-35,text,TRUE,,370,0,40,40,602,0,0
1607135099402,631,GetDistribution,200,OK,Thread Group 2-36,text,TRUE,,370,0,41,41,631,0,0
1607135099512,569,GetDistribution,200,OK,Thread Group 2-37,text,TRUE,,370,0,42,42,569,0,0
1607135099626,578,GetDistribution,200,OK,Thread Group 2-38,text,TRUE,,370,0,43,43,578,0,0
1607135099729,544,GetDistribution,200,OK,Thread Group 2-39,text,TRUE,,370,0,44,44,544,0,0
1607135099834,609,GetDistribution,200,OK,Thread Group 2-40,text,TRUE,,370,0,45,45,609,0,0
1607135099938,565,GetDistribution,200,OK,Thread Group 2-41,text,TRUE,,370,0,46,46,565,0,0
1607135100047,544,GetDistribution,200,OK,Thread Group 2-42,text,TRUE,,370,0,47,47,544,0,0
1607135100150,572,GetDistribution,200,OK,Thread Group 2-43,text,TRUE,,370,0,48,48,572,0,0
1607135100253,579,GetDistribution,200,OK,Thread Group 2-44,text,TRUE,,370,0,49,49,579,0,0
1607135100358,554,GetDistribution,200,OK,Thread Group 2-45,text,TRUE,,370,0,50,50,554,0,0
1607135100462,540,GetDistribution,200,OK,Thread Group 2-46,text,TRUE,,370,0,51,51,540,0,0
1607135100567,563,GetDistribution,200,OK,Thread Group 2-47,text,TRUE,,370,0,52,52,563,0,0
1607135100672,523,GetDistribution,200,OK,Thread Group 2-48,text,TRUE,,370,0,52,52,522,0,0
1607135100775,533,GetDistribution,200,OK,Thread Group 2-49,text,TRUE,,370,0,54,54,533,0,0
1607135100880,581,GetDistribution,200,OK,Thread Group 2-50,text,TRUE,,370,0,55,55,581,0,0
1607135101091,450,GetDistribution,200,OK,Thread Group 2-52,text,TRUE,,370,0,56,56,450,0,0
1607135100985,575,GetDistribution,200,OK,Thread Group 2-51,text,TRUE,,370,0,56,56,575,0,0
1607135101201,570,GetDistribution,200,OK,Thread Group 2-53,text,TRUE,,370,0,39,39,570,0,0
1607135101305,559,GetDistribution,200,OK,Thread Group 2-54,text,TRUE,,370,0,6,6,559,0,0
1607135101409,570,GetDistribution,200,OK,Thread Group 2-55,text,TRUE,,370,0,6,6,570,0,0
1607135101515,566,GetDistribution,200,OK,Thread Group 2-56,text,TRUE,,370,0,6,6,566,0,0
1607135101619,573,GetDistribution,200,OK,Thread Group 2-57,text,TRUE,,371,0,6,6,573,0,0
1607135101722,503,GetDistribution,200,OK,Thread Group 2-58,text,TRUE,,371,0,5,5,503,0,0
1607135101826,557,GetDistribution,200,OK,Thread Group 2-59,text,TRUE,,371,0,6,6,557,0,0
1607135101935,615,GetDistribution,200,OK,Thread Group 2-60,text,TRUE,,371,0,6,6,615,0,0
1607135102040,566,GetDistribution,200,OK,Thread Group 2-61,text,TRUE,,371,0,6,6,566,0,0
1607135102144,626,GetDistribution,200,OK,Thread Group 2-62,text,TRUE,,371,0,6,6,625,0,0
1607135102247,583,GetDistribution,200,OK,Thread Group 2-63,text,TRUE,,371,0,6,6,583,0,0
1607135102352,571,GetDistribution,200,OK,Thread Group 2-64,text,TRUE,,371,0,6,6,571,0,0
1607135102457,544,GetDistribution,200,OK,Thread Group 2-65,text,TRUE,,371,0,6,6,544,0,0
1607135102566,550,GetDistribution,200,OK,Thread Group 2-66,text,TRUE,,371,0,6,6,550,0,0
1607135102670,570,GetDistribution,200,OK,Thread Group 2-67,text,TRUE,,371,0,6,6,570,0,0
1607135102773,549,GetDistribution,200,OK,Thread Group 2-68,text,TRUE,,371,0,6,6,549,0,0
1607135102878,550,GetDistribution,200,OK,Thread Group 2-69,text,TRUE,,371,0,6,6,550,0,0
1607135102983,546,GetDistribution,200,OK,Thread Group 2-70,text,TRUE,,371,0,6,6,546,0,0
1607135103089,564,GetDistribution,200,OK,Thread Group 2-71,text,TRUE,,371,0,6,6,563,0,0
1607135103194,591,GetDistribution,200,OK,Thread Group 2-72,text,TRUE,,371,0,6,6,591,0,0
1607135103301,544,GetDistribution,200,OK,Thread Group 2-73,text,TRUE,,371,0,6,6,544,0,0
1607135103406,552,GetDistribution,200,OK,Thread Group 2-74,text,TRUE,,371,0,6,6,552,0,0
1607135103510,529,GetDistribution,200,OK,Thread Group 2-75,text,TRUE,,371,0,6,6,529,0,0
1607135103619,611,GetDistribution,200,OK,Thread Group 2-76,text,TRUE,,370,0,6,6,611,0,0
1607135103719,567,GetDistribution,200,OK,Thread Group 2-77,text,TRUE,,370,0,6,6,567,0,0
1607135103823,536,GetDistribution,200,OK,Thread Group 2-78,text,TRUE,,370,0,6,6,536,0,0
1607135103927,584,GetDistribution,200,OK,Thread Group 2-79,text,TRUE,,370,0,6,6,584,0,0
1607135104031,556,GetDistribution,200,OK,Thread Group 2-80,text,TRUE,,370,0,6,6,556,0,0
1607135104134,570,GetDistribution,200,OK,Thread Group 2-81,text,TRUE,,370,0,6,6,570,0,0
1607135104243,568,GetDistribution,200,OK,Thread Group 2-82,text,TRUE,,370,0,6,6,568,0,0
1607135104343,563,GetDistribution,200,OK,Thread Group 2-83,text,TRUE,,370,0,6,6,563,0,0
1607135104450,548,GetDistribution,200,OK,Thread Group 2-84,text,TRUE,,370,0,6,6,548,0,0
1607135104555,516,GetDistribution,200,OK,Thread Group 2-85,text,TRUE,,370,0,5,5,516,0,0
1607135104660,603,GetDistribution,200,OK,Thread Group 2-86,text,TRUE,,372,0,6,6,603,0,0
1607135104764,584,GetDistribution,200,OK,Thread Group 2-87,text,TRUE,,372,0,6,6,584,0,0
1607135104869,562,GetDistribution,200,OK,Thread Group 2-88,text,TRUE,,372,0,6,6,562,0,0
1607135104974,537,GetDistribution,200,OK,Thread Group 2-89,text,TRUE,,372,0,6,6,537,0,0
1607135105080,605,GetDistribution,200,OK,Thread Group 2-90,text,TRUE,,372,0,6,6,605,0,0
1607135105186,606,GetDistribution,200,OK,Thread Group 2-91,text,TRUE,,372,0,6,6,606,0,0
1607135105293,529,GetDistribution,200,OK,Thread Group 2-92,text,TRUE,,372,0,6,6,529,0,0
1607135105398,540,GetDistribution,200,OK,Thread Group 2-93,text,TRUE,,372,0,6,6,540,0,0
1607135105502,588,GetDistribution,200,OK,Thread Group 2-94,text,TRUE,,372,0,6,6,588,0,0
1607135105607,592,GetDistribution,200,OK,Thread Group 2-95,text,TRUE,,372,0,6,6,592,0,0
1607135105713,569,GetDistribution,200,OK,Thread Group 2-96,text,TRUE,,372,0,6,6,569,0,0
1607135105817,574,GetDistribution,200,OK,Thread Group 2-97,text,TRUE,,372,0,6,6,574,0,0
1607135105922,572,GetDistribution,200,OK,Thread Group 2-98,text,TRUE,,372,0,6,6,572,0,0
1607135106030,611,GetDistribution,200,OK,Thread Group 2-99,text,TRUE,,372,0,7,7,611,0,0
1607135106136,563,GetDistribution,200,OK,Thread Group 2-100,text,TRUE,,372,0,7,7,563,0,0
1607135106241,561,GetDistribution,200,OK,Thread Group 2-101,text,TRUE,,372,0,7,7,561,0,0
1607135106453,552,GetDistribution,200,OK,Thread Group 2-103,text,TRUE,,372,0,8,8,552,0,0
1607135106562,589,GetDistribution,200,OK,Thread Group 2-104,text,TRUE,,372,0,8,8,589,0,0
1607135106345,823,GetDistribution,200,OK,Thread Group 2-102,text,TRUE,,372,0,7,7,823,0,0
1607135106565,679,home-page,200,OK,Thread Group 2-98,text,TRUE,,404,0,7,7,679,0,0
1607135106663,586,GetDistribution,200,OK,Thread Group 2-105,text,TRUE,,372,0,6,6,586,0,0
1607135106770,549,GetDistribution,200,OK,Thread Group 2-106,text,TRUE,,372,0,6,6,548,0,0
1607135106875,547,GetDistribution,200,OK,Thread Group 2-107,text,TRUE,,372,0,6,6,547,0,0
1607135107086,554,GetDistribution,200,OK,Thread Group 2-109,text,TRUE,,372,0,7,7,554,0,0
1607135107190,571,GetDistribution,200,OK,Thread Group 2-110,text,TRUE,,372,0,7,7,571,0,0
1607135107296,548,GetDistribution,200,OK,Thread Group 2-111,text,TRUE,,372,0,7,7,548,0,0
1607135107402,577,GetDistribution,200,OK,Thread Group 2-112,text,TRUE,,372,0,7,7,577,0,0
1607135107505,576,GetDistribution,200,OK,Thread Group 2-113,text,TRUE,,372,0,7,7,576,0,0
1607135107610,533,GetDistribution,200,OK,Thread Group 2-114,text,TRUE,,372,0,7,7,533,0,0
