timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1607135088091,5734,GetWorkload,200,OK,Thread Group 1-1,text,TRUE,,24909,0,1,1,5704,0,0
1607135093862,250,GetStarttime,200,OK,Thread Group 1-1,text,TRUE,,395,0,1,1,250,0,0
1607135094197,641,GetDistribution,200,OK,Thread Group 2-1,text,TRUE,,369,0,6,6,641,0,0
1607135094880,492,GetDistribution,200,OK,Thread Group 2-7,text,TRUE,,371,0,11,11,492,0,0
1607135094305,1366,GetDistribution,200,OK,Thread Group 2-2,text,TRUE,,371,0,14,14,1366,0,0
1607135094443,1285,GetDistribution,200,OK,Thread Group 2-3,text,TRUE,,371,0,14,14,1285,0,0
1607135094561,1264,GetDistribution,200,OK,Thread Group 2-4,text,TRUE,,371,0,15,15,1264,0,0
1607135094679,1238,GetDistribution,200,OK,Thread Group 2-5,text,TRUE,,371,0,16,16,1238,0,0
1607135095415,524,GetDistribution,200,OK,Thread Group 2-12,text,TRUE,,371,0,16,16,524,0,0
1607135094771,1221,GetDistribution,200,OK,Thread Group 2-6,text,TRUE,,371,0,17,17,1221,0,0
1607135095739,530,GetDistribution,200,OK,Thread Group 2-15,text,TRUE,,371,0,19,19,530,0,0
1607135095094,1219,GetDistribution,200,OK,Thread Group 2-9,text,TRUE,,371,0,20,20,1219,0,0
1607135095835,512,GetDistribution,200,OK,Thread Group 2-16,text,TRUE,,371,0,20,20,512,0,0
1607135095955,446,GetDistribution,200,OK,Thread Group 2-17,text,TRUE,,371,0,20,20,446,0,0
1607135095199,1237,GetDistribution,200,OK,Thread Group 2-10,text,TRUE,,371,0,21,21,1237,0,0
1607135095310,1232,GetDistribution,200,OK,Thread Group 2-11,text,TRUE,,371,0,22,22,1232,0,0
1607135096191,496,GetDistribution,200,OK,Thread Group 2-19,text,TRUE,,371,0,23,23,496,0,0
1607135094990,1772,GetDistribution,200,OK,Thread Group 2-8,text,TRUE,,371,0,24,24,1772,0,0
1607135096299,486,GetDistribution,200,OK,Thread Group 2-20,text,TRUE,,371,0,24,24,486,0,0
1607135096075,747,GetDistribution,200,OK,Thread Group 2-18,text,TRUE,,371,0,25,25,747,0,0
1607135095525,1312,GetDistribution,200,OK,Thread Group 2-13,text,TRUE,,371,0,25,25,1312,0,0
1607135096407,505,GetDistribution,200,OK,Thread Group 2-21,text,TRUE,,371,0,25,25,505,0,0
1607135095629,1345,GetDistribution,200,OK,Thread Group 2-14,text,TRUE,,371,0,26,26,1345,0,0
1607135096509,515,GetDistribution,200,OK,Thread Group 2-22,text,TRUE,,371,0,26,26,514,0,0
1607135096612,500,GetDistribution,200,OK,Thread Group 2-23,text,TRUE,,371,0,27,27,500,0,0
1607135096716,551,GetDistribution,200,OK,Thread Group 2-24,text,TRUE,,371,0,29,29,551,0,0
1607135096820,459,GetDistribution,200,OK,Thread Group 2-25,text,TRUE,,371,0,29,29,459,0,0
1607135096925,540,GetDistribution,200,OK,Thread Group 2-26,text,TRUE,,371,0,30,30,540,0,0
1607135097033,567,GetDistribution,200,OK,Thread Group 2-27,text,TRUE,,371,0,32,32,567,0,0
1607135097140,485,GetDistribution,200,OK,Thread Group 2-28,text,TRUE,,371,0,32,32,485,0,0
1607135097249,484,GetDistribution,200,OK,Thread Group 2-29,text,TRUE,,371,0,5,5,484,0,0
1607135097353,487,GetDistribution,200,OK,Thread Group 2-30,text,TRUE,,371,0,5,5,486,0,0
1607135097473,522,GetDistribution,200,OK,Thread Group 2-31,text,TRUE,,371,0,5,5,522,0,0
1607135097579,483,GetDistribution,200,OK,Thread Group 2-32,text,TRUE,,371,0,5,5,482,0,0
1607135097686,519,GetDistribution,200,OK,Thread Group 2-33,text,TRUE,,370,0,5,5,519,0,0
1607135097813,493,GetDistribution,200,OK,Thread Group 2-34,text,TRUE,,370,0,5,5,493,0,0
1607135097945,495,GetDistribution,200,OK,Thread Group 2-35,text,TRUE,,370,0,5,5,495,0,0
1607135098057,532,GetDistribution,200,OK,Thread Group 2-36,text,TRUE,,370,0,5,5,531,0,0
1607135098165,482,GetDistribution,200,OK,Thread Group 2-37,text,TRUE,,370,0,5,5,482,0,0
1607135098276,493,GetDistribution,200,OK,Thread Group 2-38,text,TRUE,,370,0,5,5,493,0,0
1607135098385,465,GetDistribution,200,OK,Thread Group 2-39,text,TRUE,,370,0,5,5,465,0,0
1607135098487,472,GetDistribution,200,OK,Thread Group 2-40,text,TRUE,,370,0,5,5,472,0,0
1607135098603,504,GetDistribution,200,OK,Thread Group 2-41,text,TRUE,,370,0,5,5,503,0,0
1607135098706,702,GetDistribution,200,OK,Thread Group 2-42,text,TRUE,,370,0,7,7,702,0,0
1607135098931,512,GetDistribution,200,OK,Thread Group 2-44,text,TRUE,,370,0,6,6,512,0,0
1607135098814,712,GetDistribution,200,OK,Thread Group 2-43,text,TRUE,,370,0,6,6,712,0,0
1607135099040,524,GetDistribution,200,OK,Thread Group 2-45,text,TRUE,,370,0,5,5,524,0,0
1607135099146,465,GetDistribution,200,OK,Thread Group 2-46,text,TRUE,,370,0,5,5,465,0,0
1607135099259,540,GetDistribution,200,OK,Thread Group 2-47,text,TRUE,,370,0,6,6,540,0,0
1607135099365,454,GetDistribution,200,OK,Thread Group 2-48,text,TRUE,,370,0,5,5,453,0,0
1607135099470,510,GetDistribution,200,OK,Thread Group 2-49,text,TRUE,,370,0,5,5,509,0,0
1607135099583,451,GetDistribution,200,OK,Thread Group 2-50,text,TRUE,,370,0,5,5,451,0,0
1607135099683,488,GetDistribution,200,OK,Thread Group 2-51,text,TRUE,,370,0,5,5,488,0,0
1607135099796,475,GetDistribution,200,OK,Thread Group 2-52,text,TRUE,,370,0,5,5,475,0,0
1607135099912,467,GetDistribution,200,OK,Thread Group 2-53,text,TRUE,,370,0,5,5,467,0,0
1607135100027,483,GetDistribution,200,OK,Thread Group 2-54,text,TRUE,,370,0,5,5,483,0,0
1607135100130,474,GetDistribution,200,OK,Thread Group 2-55,text,TRUE,,370,0,5,5,474,0,0
1607135100241,460,GetDistribution,200,OK,Thread Group 2-56,text,TRUE,,370,0,5,5,460,0,0
1607135100345,490,GetDistribution,200,OK,Thread Group 2-57,text,TRUE,,370,0,5,5,490,0,0
1607135100458,540,GetDistribution,200,OK,Thread Group 2-58,text,TRUE,,370,0,5,5,540,0,0
1607135100567,494,GetDistribution,200,OK,Thread Group 2-59,text,TRUE,,370,0,5,5,494,0,0
